Scenario,Year,Food.crops,Fodder.crops,GF.milk,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,Sus.Prod
SSP2,2046,29392.03438,16380.71935,24406.56965,36360.08773,1388.539837,7821.354224,2829.574601,61783.25557,63398.422,50117.23818,45410.86868,63154.56339,39651.91797,13902.86204
SSP2,2047,29227.00999,16399.79142,24070.92431,35643.74154,1394.312273,7905.881524,2860.15451,62450.96242,64083.58434,50648.18541,45764.8668,63417.10943,39816.75886,14071.45787
SSP2,2048,29048.3273,16407.8094,23766.99931,35022.64876,1400.084708,7990.839484,2890.890222,63122.07119,64772.23755,51181.8037,46120.2329,63679.65548,39981.59974,14240.97112
SSP2,2049,28848.82945,16359.0394,23385.25381,34337.32087,1405.857144,8076.228106,2921.781736,63796.58188,65464.38161,51718.09317,46476.96698,63942.20153,40146.44063,14411.40178
SSP2,2050,28660.17739,16382.6321,23082.78787,33726.74737,1411.62958,8162.04739,2952.829053,64474.49449,66160.01653,52257.05375,46835.06905,64204.74758,40311.28152,14582.74986
SSP2,2051,28954.42404,16420.63424,22750.36471,33058.35581,1416.978113,8245.83052,2983.139739,65136.32292,66839.14678,52782.89493,47180.42466,64448.01343,40464.01724,14750.60257
SSP2,2052,29143.27213,16238.25809,22327.06151,32495.73826,1422.326647,8330.012685,3013.594787,65801.30345,67521.51153,53311.21111,47527.0478,64691.27927,40616.75295,14919.30532
SSP2,2053,29304.38172,15984.66833,21848.99023,31911.9904,1427.675181,8414.593886,3044.194197,66469.43607,68207.11079,53842.00227,47874.93846,64934.54512,40769.48867,15088.85811
SSP2,2054,29424.46344,15762.16396,21382.96598,31312.86163,1433.023715,8499.574123,3074.937967,67140.7208,68895.94456,54375.26834,48224.09665,65177.81097,40922.22438,15259.26094
SSP2,2055,29370.36668,15764.78045,21227.32882,31041.01249,1438.372249,8584.953394,3105.826098,67815.15764,69588.01283,54911.00942,48574.52237,65421.07681,41074.9601,15430.51382
SSP2,2056,29400.52259,16080.69574,21557.08697,31334.66504,1443.252648,8667.920166,3135.841447,68470.53739,70260.52583,55431.24573,48910.351,65643.05061,41214.32749,15597.55749
SSP2,2057,29431.42187,16092.60043,21210.27724,30698.47408,1448.133047,8751.251047,3165.98852,69128.79336,70935.99023,55953.74033,49247.33622,65865.02441,41353.69488,15765.37681
SSP2,2058,29400.15971,16039.32845,21002.99132,30398.22884,1453.013446,8834.946037,3196.26732,69789.92555,71614.40604,56478.49332,49585.47802,66086.99821,41493.06228,15933.97177
SSP2,2059,29369.89708,16089.26468,21056.37957,30465.32808,1457.893844,8919.005137,3226.677846,70453.93394,72295.77324,57005.50465,49924.7764,66308.97201,41632.42967,16103.34237
SSP2,2060,29340.15704,16032.99585,20841.68502,30154.1152,1462.774243,9003.428346,3257.220098,71120.81854,72980.09185,57534.77428,50265.23138,66530.9458,41771.79706,16273.4886
SSP2,2061,29420.56251,16557.40998,21711.10693,31193.48398,1466.983772,9084.061407,3286.391166,71757.76361,73633.68823,58039.75996,50583.71035,66722.40659,41892.0067,16436.89368
SSP2,2062,29448.7,17081.41657,22582.30114,32230.95514,1471.1933,9165.008526,3315.675853,72397.18952,74289.83031,58546.69355,50903.18693,66913.86737,42012.21634,16600.96778
SSP2,2063,29178.82435,17471.44455,23369.74722,33259.8823,1475.402828,9246.269703,3345.074159,73039.09627,74948.51808,59055.575,51223.6611,67105.32816,42132.42598,16765.71089
SSP2,2064,28913.80977,17638.82691,23620.75208,33547.90948,1479.612357,9327.844938,3374.586083,73683.48386,75609.75155,59566.40439,51545.13287,67296.78894,42252.63562,16931.12303
SSP2,2065,28689.8463,17874.88832,23782.49459,33580.80568,1483.821885,9409.734231,3404.211626,74330.35229,76273.53072,60079.1817,51867.60224,67488.24972,42372.84526,17097.20419
SSP2,2066,28427.84483,17872.4826,23341.19268,32803.27303,1487.578023,9489.04547,3432.904492,74956.85589,76916.41266,60575.44441,52175.16704,67659.08907,42480.10763,17258.69418
SSP2,2067,28235.11651,17857.43934,22893.93852,32013.16926,1491.334161,9568.636941,3461.698739,75585.57312,77561.56611,61073.44527,52483.62198,67829.92843,42587.36999,17420.78114
SSP2,2068,28015.56141,17855.95243,22480.24451,31280.14186,1495.090299,9648.508645,3490.594367,76216.504,78208.99107,61573.18423,52792.96708,68000.76778,42694.63236,17583.46505
SSP2,2069,27798.68573,18055.9924,22591.38668,31262.32042,1498.846436,9728.66058,3519.591376,76849.64851,78858.68754,62074.66125,53103.20233,68171.60713,42801.89473,17746.74594
SSP2,2070,27527.27316,18042.81438,22562.4552,31217.97412,1502.602574,9809.092748,3548.689767,77485.00667,79510.65552,62577.87643,53414.32773,68342.44648,42909.15709,17910.62378
SSP2,2071,28118.07632,18498.81598,23359.78914,32130.22408,1505.993788,9831.230824,3556.698781,77659.88206,79690.10259,62719.10802,53534.87817,68496.68809,43005.99848,17951.04615
SSP2,2072,28186.00193,18907.62625,24135.10966,33020.11513,1509.385002,9853.3689,3564.707796,77834.75746,79869.54966,62860.33961,53655.42861,68650.9297,43102.83987,17991.46851
SSP2,2073,28661.05194,18934.30261,24646.77586,33868.0388,1512.776215,9875.506977,3572.71681,78009.63285,80048.99673,63001.5712,53775.97905,68805.17131,43199.68126,18031.89088
SSP2,2074,29151.09833,18833.44821,24834.22932,34284.89062,1516.167429,9897.645053,3580.725824,78184.50825,80228.4438,63142.8028,53896.52949,68959.41293,43296.52265,18072.31325
SSP2,2075,29622.57875,18565.4063,24597.55777,34128.79131,1519.558643,9919.783129,3588.734838,78359.38364,80407.89087,63284.03439,54017.07993,69113.65454,43393.36405,18112.73562
SSP2,2076,29583.47456,18056.262,23766.624,33147.94239,1522.459605,9938.720809,3595.586028,78508.97814,80561.39613,63404.84881,54120.20297,69245.59818,43476.20554,18147.31432
SSP2,2077,29491.96839,17543.22118,22926.39408,32162.01987,1525.360567,9957.658489,3602.437217,78658.57264,80714.9014,63525.66322,54223.32601,69377.54182,43559.04703,18181.89301
SSP2,2078,29130.10901,17426.28154,22348.70235,31191.75212,1528.261529,9976.59617,3609.288407,78808.16713,80868.40666,63646.47764,54326.44905,69509.48546,43641.88853,18216.47171
SSP2,2079,28726.95637,17302.26706,21870.78939,30413.65852,1531.162492,9995.53385,3616.139596,78957.76163,81021.91192,63767.29206,54429.57209,69641.4291,43724.73002,18251.05041
SSP2,2080,28107.3477,17003.55236,21608.72982,30206.65202,1534.063454,10014.47153,3622.990785,79107.35612,81175.41719,63888.10647,54532.69513,69773.37274,43807.57152,18285.62911
SSP2,2081,28034.42899,16463.83022,20746.48656,29173.23006,1536.352523,10029.41473,3628.39687,79225.39701,81296.54396,63983.4378,54614.06667,69877.48583,43872.93945,18312.91421
SSP2,2082,28052.65946,16171.58269,20293.8337,28600.56667,1538.641592,10044.35793,3633.802955,79343.43791,81417.67073,64078.76912,54695.43822,69981.59891,43938.30739,18340.19931
SSP2,2083,28094.48592,15992.54423,20100.22796,28367.75754,1540.930662,10059.30113,3639.209039,79461.4788,81538.7975,64174.10045,54776.80977,70085.712,44003.67533,18367.48441
SSP2,2084,27895.72228,16054.32219,20049.42092,28134.93079,1543.219731,10074.24434,3644.615124,79579.51969,81659.92427,64269.43177,54858.18131,70189.82509,44069.04327,18394.7695
SSP2,2085,27615.452,15961.79161,19900.29819,27886.45483,1545.5088,10089.18754,3650.021209,79697.56058,81781.05105,64364.7631,54939.55286,70293.93818,44134.41121,18422.0546
SSP2,2086,27216.13377,15868.18015,20214.31655,28458.17002,1547.174918,10100.06407,3653.956072,79783.47762,81869.21417,64434.15079,54998.77982,70369.71775,44181.98981,18441.91429
SSP2,2087,26913.41803,15767.83688,20504.63289,29003.93967,1548.841036,10110.9406,3657.890936,79869.39467,81957.3773,64503.53849,55058.00677,70445.49733,44229.5684,18461.77397
SSP2,2088,26758.33403,16024.11535,21012.80878,29541.63475,1550.507154,10121.81714,3661.825799,79955.31171,82045.54042,64572.92618,55117.23373,70521.2769,44277.147,18481.63366
SSP2,2089,26531.16773,16192.06859,21455.73181,30051.00336,1552.173272,10132.69367,3665.760663,80041.22875,82133.70355,64642.31388,55176.46068,70597.05648,44324.72559,18501.49334
SSP2,2090,26283.18181,16341.33812,21877.26933,30534.32303,1553.83939,10143.5702,3669.695526,80127.14579,82221.86667,64711.70157,55235.68764,70672.83605,44372.30419,18521.35303
SSP2,2091,26100.71407,16133.04066,21236.54543,29489.01631,1554.956279,10150.86133,3672.333278,80184.74062,82280.96717,64758.21589,55275.39066,70723.63519,44404.19869,18534.66605
SSP2,2092,25909.65266,16117.69571,21102.70031,29140.70049,1556.073168,10158.15246,3674.971029,80242.33545,82340.06768,64804.73021,55315.09369,70774.43433,44436.09319,18547.97906
SSP2,2093,25820.77476,16094.71735,20960.79077,28784.77608,1557.190057,10165.44358,3677.608781,80299.93029,82399.16818,64851.24453,55354.79672,70825.23347,44467.9877,18561.29208
SSP2,2094,25627.77649,16065.70352,20813.11726,28425.50845,1558.306946,10172.73471,3680.246532,80357.52512,82458.26868,64897.75885,55394.49974,70876.03261,44499.8822,18574.6051
SSP2,2095,25465.10485,16029.37745,20659.34714,28062.15229,1559.423835,10180.02584,3682.884284,80415.11995,82517.36918,64944.27316,55434.20277,70926.83175,44531.7767,18587.91812
SSP2,2096,24862.30364,15646.60174,20275.5376,27686.45866,1559.840364,10182.74497,3683.867999,80436.59921,82539.40996,64961.62009,55449.00951,70945.77664,44543.67135,18592.88304
SSP2,2097,24478.13771,15370.38922,19762.95473,26956.35615,1560.256894,10185.4641,3684.851715,80458.07847,82561.45074,64978.96701,55463.81624,70964.72154,44555.566,18597.84796
SSP2,2098,24246.86515,15116.39205,19459.2829,26573.34597,1560.673423,10188.18324,3685.835431,80479.55773,82583.49152,64996.31393,55478.62298,70983.66643,44567.46065,18602.81288
SSP2,2099,24475.43548,14735.85001,19070.80737,26184.06852,1561.089953,10190.90237,3686.819147,80501.03699,82605.53231,65013.66086,55493.42972,71002.61132,44579.35529,18607.77781
SSP2,2100,24743.60142,14359.80232,18684.93567,25793.67139,1561.506482,10193.6215,3687.802863,80522.51625,82627.57309,65031.00778,55508.23646,71021.55622,44591.24994,18612.74273
