"","Scenario","Year","Food.crops","Fodder.crops","GF.milk","GF.redMeat","Fuel","Softwood","Hardwood","Biodiversity","Carbon","Recreation","Flood.reg","Employment","Ldiversity"
"58","SSP1",2077,10644.3107213567,3412.55656784248,5513.98376219026,8991.25081956288,414.662799014053,2458.99764485289,2414.49565388507,54686.8605400137,55442.7292075682,52154.5278777328,31801.4064057337,29294.0259576145,33988.3155879515
"59","SSP1",2078,10767.2008920271,3420.15912424059,5480.86693417182,8880.30428561761,415.299805095994,2462.7751634993,2418.20480845597,54770.8706389401,55527.9004739288,52234.6478005662,31850.2598098561,29339.0275173009,34040.5285277087
"60","SSP1",2079,10805.904054795,3381.82013164161,5366.21546891206,8669.95173997147,415.936811177936,2466.55268214572,2421.91396302687,54854.8807378665,55613.0717402894,52314.7677233996,31899.1132139785,29384.0290769873,34092.7414674659
"61","SSP1",2080,10927.0734257505,3291.15247261525,5263.55703102014,8552.92677415022,416.573817259878,2470.33020079214,2425.62311759777,54938.890836793,55698.24300665,52394.8876462331,31947.9666181008,29429.0306366736,34144.9544072231
"62","SSP1",2081,11250.2512186503,3237.7625981465,5315.72679007973,8646.85471136013,416.886494025708,2472.18440963992,2427.44376968898,54980.127501205,55740.0496343453,52434.2148034775,31971.9464902463,29451.1198168856,34170.5833197259
"63","SSP1",2082,11165.0683315783,3145.68636856108,5206.55296584558,8521.3896026764,417.19917079154,2474.03861848771,2429.26442178018,55021.3641656171,55781.8562620406,52473.541960722,31995.9263623917,29473.2089970975,34196.2122322287
"64","SSP1",2083,10952.0974924258,3146.83151407997,5166.21715038778,8401.94486254812,417.511847557371,2475.89282733549,2431.08507387139,55062.6008300291,55823.6628897359,52512.8691179664,32019.9062345371,29495.2981773094,34221.8411447315
"65","SSP1",2084,10726.3971135384,3130.25382561977,5065.60593853677,8188.71339725326,417.824524323202,2477.74703618327,2432.90572596259,55103.8374944412,55865.4695174312,52552.1962752109,32043.8861066826,29517.3873575213,34247.4700572342
"66","SSP1",2085,10555.4685200908,3128.76058983185,5023.01316685152,8069.21195899641,418.137201089033,2479.60124503106,2434.7263780538,55145.0741588532,55907.2761451265,52591.5234324554,32067.865978828,29539.4765377332,34273.098969737
"67","SSP1",2086,10420.9228386825,2989.05409307629,4746.91758893054,7679.06815445878,417.995428393966,2478.76051679573,2433.90086499381,55126.3767892751,55888.3203449913,52573.6918642638,32056.9931175447,29529.4609467054,34261.4784069252
"68","SSP1",2087,10521.0266637891,2862.8709386131,4517.15992556261,7357.90536653135,417.8536556989,2477.9197885604,2433.07535193382,55107.6794196969,55869.3645448562,52555.8602960722,32046.1202562613,29519.4453556777,34249.8578441134
"69","SSP1",2088,10625.2217516658,2757.01423491169,4357.03547281408,7145.34913086806,417.711883003834,2477.07906032507,2432.24983887384,55088.9820501188,55850.4087447211,52538.0287278806,32035.247394978,29509.4297646499,34238.2372813015
"70","SSP1",2089,10730.0457070533,2653.80174499901,4203.13590072577,6938.02396949626,417.570110308768,2476.23833208974,2431.42432581385,55070.2846805407,55831.4529445859,52520.197159689,32024.3745336946,29499.4141736221,34226.6167184897
"71","SSP1",2090,10835.3516354046,2552.47562842725,4051.60535473698,6733.11760119978,417.428337613701,2475.3976038544,2430.59881275386,55051.5873109625,55812.4971444508,52502.3655914974,32013.5016724113,29489.3985825944,34214.9961556779
"72","SSP1",2091,10924.81131346,2582.78405260295,4139.11765188523,6831.12548568494,416.936988410253,2472.4838470936,2427.73778803911,54986.786838315,55746.8010152153,52440.5657729704,31975.8190161828,29454.68701369,34174.7221503164
"73","SSP1",2092,10784.055989265,2578.11879482729,4200.14645195694,6920.22724178538,416.445639206804,2469.5700903328,2424.87676332436,54921.9863656675,55681.1048859799,52378.7659544434,31938.1363599543,29419.9754447855,34134.4481449549
"74","SSP1",2093,10646.0389895934,2537.49920756081,4231.37420545921,6999.97655127554,415.954290003355,2466.65633357199,2422.01573860961,54857.18589302,55615.4087567444,52316.9661359164,31900.4537037257,29385.2638758811,34094.1741395934
"75","SSP1",2094,10493.4069671154,2512.33990679186,4171.04960922687,6874.78729669216,415.462940799906,2463.74257681119,2419.15471389486,54792.3854203725,55549.712627509,52255.1663173894,31862.7710474972,29350.5523069767,34053.9001342319
"76","SSP1",2095,10345.6060159688,2445.48659600741,4079.00901417581,6744.85481063163,414.971591596458,2460.82882005039,2416.29368918011,54727.584947725,55484.0164982735,52193.3664988624,31825.0883912687,29315.8407380722,34013.6261288704
"77","SSP1",2096,10184.6752482732,2338.82080036323,3843.95357610044,6381.15609688272,414.229712562001,2456.42939284633,2411.97388111278,54629.7439178778,55384.8231331828,52100.0561009283,31768.1920486627,29263.4303850228,33952.8171563483
"78","SSP1",2097,10029.8325188336,2235.27095320477,3616.34367617748,6026.9143522535,413.487833527545,2452.02996564227,2407.65407304545,54531.9028880305,55285.6297680921,52006.7457029943,31711.2957060568,29211.0200319735,33892.0081838262
"79","SSP1",2098,9875.00025676413,2143.16440937316,3426.61086149577,5732.04071037489,412.745954493089,2447.63053843821,2403.33426497811,54434.0618581833,55186.4364030014,51913.4353050602,31654.3993634509,29158.6096789241,33831.1992113041
"80","SSP1",2099,9722.41952521741,2082.9568871152,3346.10887439009,5613.92127300372,412.004075458633,2443.23111123415,2399.01445691078,54336.2208283361,55087.2430379108,51820.1249071261,31597.503020845,29106.1993258747,33770.390238782
"81","SSP1",2100,9563.99488782765,2057.29027560386,3288.8694825756,5498.54952620414,411.262196424176,2438.83168403009,2394.69464884345,54238.3797984889,54988.0496728201,51726.8145091921,31540.606678239,29053.7889728253,33709.5812662599
