"ID","Scenario","Year","Food.crops","Fodder.crops","GF.milk","GF.redMeat","Fuel","Softwood","Hardwood","Biodiversity","Carbon","Recreation","Flood.reg","Employment","Ldiversity"
"37","SSP3",2056,8460.5743039581,4741.3495903795,5983.92149791354,9886.26116372812,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"38","SSP3",2057,8336.57126135771,4690.99665877315,5853.07200772612,9657.08167764773,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"39","SSP3",2058,8197.85302391229,4602.01638436566,5739.9480280454,9505.72607165641,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"40","SSP3",2059,8202.94915453227,4563.87620645474,5613.25080813367,9270.96539009457,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"41","SSP3",2060,8202.7471299681,4526.40932758138,5485.66789930442,9037.9113484833,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"42","SSP3",2061,8143.59076338732,4579.05174816751,5566.17849650671,9140.74581630947,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"43","SSP3",2062,8082.98731543408,4631.77508060504,5647.29013239731,9243.87265739877,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"44","SSP3",2063,8017.58587003932,4684.78649103097,5728.90550764725,9347.09260090737,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"45","SSP3",2064,7950.97683709755,4737.59362410109,5810.71052043671,9449.96242967999,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"46","SSP3",2065,7843.98199024883,4769.53521537281,5845.42408008531,9477.38178397793,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"47","SSP3",2066,7800.35022659753,4727.40652429814,5709.07173997295,9239.07971575416,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"48","SSP3",2067,7681.27198914184,4641.6113077984,5553.46340048201,8998.18614233101,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"49","SSP3",2068,7679.10357741755,4598.55289679086,5418.04239319261,8758.28559956888,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"50","SSP3",2069,7640.80828141334,4556.16230860619,5284.54557264952,8522.69812230764,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"51","SSP3",2070,7579.81004317697,4532.16141567988,5194.99818512938,8357.08617804934,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"52","SSP3",2071,7527.34962269568,4575.292357956,5264.01596367715,8440.73161961767,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"53","SSP3",2072,7474.6790894636,4617.01059271132,5331.7149977655,8521.63392756359,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"54","SSP3",2073,7422.20121552696,4657.18106942548,5397.90528625505,8599.39535899453,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"55","SSP3",2074,7367.28379551297,4696.33468477147,5463.06149667441,8674.69627335485,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"56","SSP3",2075,7324.74214422852,4698.13995999001,5506.91490700799,8745.71125271859,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"57","SSP3",2076,7214.16626094041,4574.47131542607,5320.52209245532,8486.22836270739,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"58","SSP3",2077,7130.09075624803,4519.528183257,5171.54185565044,8229.80462962174,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"59","SSP3",2078,7052.21577985184,4463.68505027085,5021.23543270853,7972.66677373543,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"60","SSP3",2079,6974.88344873729,4457.12380209308,4987.35349871469,7896.8138063903,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"61","SSP3",2080,6902.80155414311,4460.37022581839,4978.03684152611,7859.18416780688,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"62","SSP3",2081,6728.18608616194,4380.46394563227,4811.61565556378,7594.79429388933,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
"63","SSP3",2082,6567.40869503088,4379.26886828677,4796.05292604729,7548.48965516235,294.125637,1276.084161,1258.192066,28367.80359,28748.3434,27051.46921,24740.44887,22819.72531,26418.28029
