Scenario,Year,Food.crops,Fodder.crops,GF.milk,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,Sus.Prod
SSP3,2039,1151.703729,596.0542205,665.8563356,1015.848079,48.27819866,270.1400527,97.73006181,1485.207226,1524.0342,2010.609593,1716.187347,2634.988331,1151.456135,6817.403653
SSP3,2040,1152.263157,601.8536168,674.6147531,1024.986892,48.240785,269.930705,97.65432496,1449.940015,1487.845017,2009.051451,1714.857371,2632.946321,1124.11406,6655.51997
SSP3,2041,1148.49442,600.7992412,679.5311562,1032.808589,48.17612124,269.5688798,97.52342543,1413.925956,1450.889462,2006.358443,1712.558712,2629.417021,1096.192967,6490.208105
SSP3,2042,1146.050075,604.8709459,687.1408944,1041.401603,48.11145748,269.2070545,97.39252591,1378.003358,1414.027759,2003.665435,1710.260052,2625.887721,1068.342782,6325.316066
SSP3,2043,1143.400551,609.332021,695.2493676,1050.713993,48.04679372,268.8452293,97.26162639,1342.172222,1377.259909,2000.972427,1707.961393,2622.358421,1040.563506,6160.843852
SSP3,2044,1140.665435,614.5602628,703.9797953,1060.686406,47.98212996,268.483404,97.13072686,1306.432547,1340.585911,1998.279419,1705.662734,2618.829121,1012.855138,5996.791466
SSP3,2045,1137.682198,619.7928823,713.0065878,1071.371942,47.9174662,268.1215788,96.99982734,1270.784334,1304.005765,1995.586411,1703.364075,2615.299821,985.2176792,5833.158905
SSP3,2046,1133.688582,626.0914854,722.1837703,1081.034295,47.81641987,267.5561753,96.7952782,1234.288436,1266.555774,1991.378203,1699.772092,2609.784787,956.9230246,5665.635301
SSP3,2047,1129.053666,632.6644888,731.6643337,1091.234465,47.71537354,266.9907718,96.59072905,1197.935459,1229.252442,1987.169994,1696.18011,2604.269753,928.7391745,5498.767735
SSP3,2048,1124.351916,639.2969815,741.4419139,1102.039919,47.61432721,266.4253684,96.38617991,1161.725404,1192.095767,1982.961786,1692.588128,2598.754719,900.666129,5332.556208
SSP3,2049,1117.907441,644.5361628,750.6687472,1113.316684,47.51328088,265.8599649,96.18163077,1125.65827,1155.085749,1978.753578,1688.996146,2593.239685,872.703888,5167.000718
SSP3,2050,1111.149925,649.2229797,759.7946559,1125.102922,47.41223455,265.2945614,95.97708163,1089.734058,1118.22239,1974.545369,1685.404163,2587.724651,844.8524516,5002.101267
SSP3,2051,1102.292872,656.0231855,769.3197138,1135.396891,47.27657322,264.5354702,95.70246098,1053.181648,1080.714409,1968.895573,1680.581691,2580.320356,816.513984,4834.31826
SSP3,2052,1093.153457,663.1126849,779.3081476,1146.204657,47.14091189,263.7763789,95.42784034,1016.821119,1043.403327,1963.245778,1675.75922,2572.916062,788.3242787,4667.416028
SSP3,2053,1084.000599,667.2533585,783.5188306,1148.629011,47.00525057,263.0172877,95.1532197,980.6524717,1006.289142,1957.595982,1670.936748,2565.511767,760.2833358,4501.394569
SSP3,2054,1074.147032,662.0270627,769.5835491,1125.035674,46.86958924,262.2581964,94.87859906,944.6757056,969.3718545,1951.946186,1666.114276,2558.107472,732.3911553,4336.253886
SSP3,2055,1064.300057,656.5445029,754.8874755,1100.506346,46.73392791,261.4991052,94.60397842,908.8908209,932.6514648,1946.29639,1661.291804,2550.703177,704.6477372,4171.993977
SSP3,2056,1057.321949,658.6389218,755.1186755,1097.47378,46.56556646,260.5570408,94.26316257,872.6849847,895.4991189,1939.284754,1655.306912,2541.514134,676.5779625,4005.801815
SSP3,2057,1041.825231,650.9596091,738.6066119,1072.032568,46.39720501,259.6149764,93.92234673,836.7172814,858.5911312,1932.273118,1649.322021,2532.325091,648.6928083,3840.702731
SSP3,2058,1024.489547,638.7199735,724.3313533,1055.230582,46.22884356,258.672912,93.58153088,800.9877109,821.9275019,1925.261482,1643.337129,2523.136047,620.9922744,3676.696726
SSP3,2059,1025.126413,632.5837328,708.343269,1029.169801,46.0604821,257.7308477,93.24071503,765.4962734,785.5082308,1918.249846,1637.352237,2513.947004,593.476361,3513.7838
SSP3,2060,1025.101166,626.5388786,692.2434192,1003.298472,45.89212065,256.7887833,92.89989919,730.2429688,749.333318,1911.238211,1631.367345,2504.757961,566.145068,3351.963952
SSP3,2061,1017.708367,633.8676428,702.4031537,1014.714127,45.69871857,255.7066043,92.50839332,694.8470553,713.0120682,1903.183724,1624.492312,2494.202218,538.7032128,3189.4895
SSP3,2062,1010.134726,641.2090141,712.638735,1026.162236,45.50531648,254.6244254,92.11688746,659.7246926,676.9715204,1895.129238,1617.617279,2483.646475,511.4734368,3028.270702
SSP3,2063,1001.961476,648.5884492,722.9378826,1037.620682,45.31191439,253.5422464,91.72538159,624.8758805,641.2116746,1887.074752,1610.742246,2473.090732,484.4557401,2868.307557
SSP3,2064,993.6373143,655.9406101,733.2609611,1049.040261,45.1185123,252.4600675,91.33387573,590.3006192,605.7325309,1879.020265,1603.867213,2462.53499,457.6501226,2709.600066
SSP3,2065,980.266118,660.2083707,737.6415099,1052.084083,44.92511021,251.3778885,90.94236986,555.9989087,570.5340892,1870.965779,1596.99218,2451.979247,431.0565845,2552.148228
SSP3,2066,974.813436,653.528182,720.4350342,1025.630172,44.71653645,250.2108167,90.5201518,521.7937118,535.4346842,1862.279448,1589.577826,2440.595445,404.5378717,2395.139408
SSP3,2067,959.9321726,641.2233529,700.7986206,998.8885787,44.50796268,249.0437448,90.09793375,487.8835246,500.6380012,1853.593117,1582.163471,2429.211643,378.2478751,2239.484743
