"","Scenario","Year","Food.crops","Fodder.crops","GF.milk","GF.redMeat","Fuel","Softwood","Hardwood","Biodiversity","Carbon","Recreation","Flood.reg","Employment","Ldiversity"
"11","SSP3",2030,7914.98306329312,4119.74666430967,6659.23421026816,151.334846175553,1124.77835315041,1104.4225483299,25014.5001423303,25360.2445625698,23856.1773731031,21819.5818119915,20099.2178719973,23320.0639984709,7089.74735975325
"12","SSP3",2031,7905.48114174938,3965.37418294565,6370.57847197352,145.43270734486,1124.61425923082,1104.26142411879,25010.8507767791,25356.5447563634,23852.6969952665,21816.3985530915,20096.2855970011,23316.6618342172,7088.71303647538
"13","SSP3",2032,7923.71833748044,3902.46953832992,6234.55255910982,142.156315851593,1124.45016531124,1104.10029990767,25007.2014112279,25352.844950157,23849.2166174299,21813.2152941915,20093.353322005,23313.2596699635,7087.67871319751
"14","SSP3",2033,7941.53500109628,3917.69258941116,6310.52977666228,143.565525786127,1124.28607139166,1103.93917569656,25003.5520456767,25349.1451439506,23845.7362395933,21810.0320352915,20090.4210470088,23309.8575057099,7086.64438991964
"15","SSP3",2034,7958.842106755,3933.82705306844,6386.54704254749,144.970969518646,1124.12197747208,1103.77805148545,24999.9026801255,25345.4453377442,23842.2558617567,21806.8487763916,20087.4887720127,23306.4553414562,7085.61006664177
"16","SSP3",2035,7974.45725222408,3950.60991960342,6462.61057990769,146.369489421382,1123.9578835525,1103.61692727433,24996.2533145743,25341.7455315378,23838.7754839201,21803.6655174916,20084.5564970165,23303.0531772025,7084.5757433639
"17","SSP3",2036,7982.17724935002,3984.49975845741,6538.83432297098,147.518027840644,1123.08955322804,1102.76431165718,24976.9420885325,25322.1673903622,23820.3584845347,21786.8207724792,20069.039875162,23285.0500580267,7079.10244935184
"18","SSP3",2037,7990.49462885623,4019.52996192288,6618.88550882673,148.695230135193,1122.22122290359,1101.91169604004,24957.6308624906,25302.5892491866,23801.9414851494,21769.9760274668,20053.5232533074,23267.046938851,7073.62915533978
"19","SSP3",2038,7997.5247983373,4055.70779065447,6701.41667253287,149.918721109163,1121.35289257913,1101.05908042289,24938.3196364488,25283.0111080109,23783.524485764,21753.1312824545,20038.0066314528,23249.0438196752,7068.15586132772
"20","SSP3",2039,8002.8902137213,4093.3060475798,6786.73696692812,151.200296553282,1120.48456225468,1100.20646480574,24919.008410407,25263.4329668353,23765.1074863787,21736.2865374421,20022.4900095982,23231.0407004995,7062.68256731567
"21","SSP3",2040,8006.7775356751,4133.13246458435,6876.00708845556,152.560530710378,1119.61623193023,1099.35384918859,24899.6971843651,25243.8548256597,23746.6904869933,21719.4417924297,20006.9733877436,23213.0375813237,7057.20927330361
"22","SSP3",2041,7980.58956377904,4125.89171070401,6926.11749986786,153.724723432634,1118.11545629072,1097.88023400778,24866.3206952614,25210.0170147302,23714.8595313628,21690.3282370737,19980.1552893414,23181.9219540869,7047.74952499143
"23","SSP3",2042,7963.60443835128,4153.85348468444,7003.67971339133,155.003720081944,1116.61468065121,1096.40661882696,24832.9442061576,25176.1792038007,23683.0285757322,21661.2146817177,19953.3371909392,23150.80632685,7038.28977667925
