Scenario,Year,Food.crops,Fodder.crops,GF.milk,GF.redMeat,Fuel,Softwood,Hardwood,Biodiversity,Carbon,Recreation,Flood.reg,Employment,Ldiversity,Sus.Prod
SSP3,2070,1713.116089,1128.092103,1185.593452,1677.791629,79.36150037,444.066276,160.6523141,701.5629119,719.9034938,1724.895062,1464.724098,4331.49192,543.9099032,3636.3105
SSP3,2071,1701.259487,1138.960506,1201.344569,1694.584518,78.96164936,441.8289148,159.8428916,698.0281925,716.2763682,1687.39856,1432.566628,4309.668348,541.1694948,3515.10015
SSP3,2072,1689.355397,1149.476981,1216.794726,1710.826687,78.56179836,439.5915535,159.033469,694.4934731,712.6492425,1649.902058,1400.409158,4287.844777,538.4290864,3393.8898
SSP3,2073,1677.494851,1159.606621,1231.900557,1726.438285,78.16194735,437.3541923,158.2240464,690.9587537,709.0221168,1612.405556,1368.251688,4266.021205,535.688678,3272.67945
SSP3,2074,1665.082941,1169.478915,1246.770395,1741.555906,77.76209635,435.116831,157.4146239,687.4240343,705.3949911,1574.909054,1336.094218,4244.197633,532.9482697,3151.4691
SSP3,2075,1655.468085,1170.616825,1256.778545,1755.813067,77.36224534,432.8794697,156.6052013,683.8893149,701.7678655,1537.412552,1303.936748,4222.374062,530.2078613,3030.25875
SSP3,2076,1630.476782,1139.367489,1214.240299,1703.718567,76.93415703,430.4841069,155.7386177,680.1049751,697.8845937,1499.91605,1271.779279,4199.009318,527.2739264,2909.0484
SSP3,2077,1611.474842,1124.147696,1180.240289,1652.238233,76.50606871,428.0887441,154.872034,676.3206353,694.0013219,1462.419547,1239.621809,4175.644575,524.3399915,2787.83805
SSP3,2078,1593.874285,1108.710443,1145.937617,1600.614528,76.07798039,425.6933814,154.0054504,672.5362954,690.1180501,1424.923045,1207.464339,4152.279831,521.4060566,2666.6277
SSP3,2079,1576.396372,1106.490238,1138.205142,1585.386079,75.64989207,423.2980186,153.1388667,668.7519556,686.2347783,1387.426543,1175.306869,4128.915088,518.4721217,2545.41735
SSP3,2080,1560.105112,1106.922453,1136.078912,1577.83145,75.22180376,420.9026558,152.2722831,664.9676158,682.3515065,1349.930041,1143.149399,4105.550345,515.5381868,2424.207
SSP3,2081,1520.640196,1085.815915,1098.098556,1524.75181,74.76894119,418.368669,151.3555486,660.9642694,678.2435028,1312.433539,1110.991929,4080.833441,512.4344598,2302.99665
SSP3,2082,1484.30283,1085.133392,1094.546859,1515.455562,74.31607863,415.8346822,150.4388142,656.9609229,674.135499,1274.937037,1078.834459,4056.116538,509.3307328,2181.7863
SSP3,2083,1454.790977,1084.69791,1091.652207,1507.056788,73.86321607,413.3006955,149.5220798,652.9575765,670.0274953,1237.440535,1046.676989,4031.399635,506.2270057,2060.57595
SSP3,2084,1451.953614,1084.038758,1088.604138,1498.475423,73.4103535,410.7667087,148.6053454,648.9542301,665.9194915,1199.944033,1014.519519,4006.682731,503.1232787,1939.3656
SSP3,2085,1452.381469,1072.014188,1062.627313,1459.254772,72.95749094,408.2327219,147.688611,644.9508837,661.8114877,1162.447531,982.3620491,3981.965828,500.0195517,1818.15525
SSP3,2086,1399.540506,1061.489691,1060.647218,1466.125029,72.48438276,405.585451,146.7308931,640.7685641,657.5198321,1124.951029,950.2045791,3956.143934,496.7770698,1696.9449
SSP3,2087,1378.454737,1055.008872,1064.479243,1473.077118,72.01127457,402.9381801,145.7731753,636.5862445,653.2281764,1087.454527,918.0471092,3930.322039,493.5345879,1575.73455
